,RXPACC,FP_IDX,CIR746,CIR740,CIR749,CIR_PWR,CIR750,CIR575,CIR326,CIR333,CIR349,CIR350,CIR246,NLOS,RANGE
0,611.0,745.0,6102.0,266.0,9621.0,11855.0,8303.0,106.0,150.0,182.0,179.0,215.0,284.0,0.0,3.9
1,447.0,749.0,194.0,10.0,1840.0,18968.0,5244.0,245.0,263.0,247.0,123.0,299.0,230.0,0.0,0.66
2,723.0,746.0,1212.0,500.0,4489.0,14699.0,2992.0,73.0,172.0,265.0,205.0,180.0,314.0,1.0,7.86
3,1024.0,750.0,292.0,241.0,1424.0,8748.0,2907.0,418.0,213.0,250.0,157.0,345.0,317.0,1.0,3.48
4,276.0,746.0,11949.0,280.0,16162.0,11380.0,19583.0,185.0,68.0,240.0,42.0,338.0,152.0,0.0,1.19
5,600.0,746.0,11193.0,323.0,7741.0,10256.0,13616.0,220.0,520.0,225.0,518.0,495.0,145.0,1.0,1.27
6,283.0,748.0,612.0,512.0,18315.0,13006.0,19517.0,283.0,175.0,252.0,100.0,145.0,67.0,0.0,0.28
7,272.0,744.0,17616.0,322.0,4037.0,8025.0,4876.0,120.0,131.0,111.0,322.0,242.0,204.0,0.0,1.23
8,1024.0,745.0,8605.0,452.0,5164.0,9956.0,665.0,225.0,526.0,212.0,210.0,161.0,339.0,1.0,4.99
9,301.0,749.0,101.0,451.0,5299.0,11466.0,7949.0,341.0,490.0,186.0,226.0,294.0,737.0,0.0,1.17
10,278.0,749.0,263.0,177.0,6498.0,12342.0,18034.0,241.0,323.0,237.0,70.0,232.0,247.0,0.0,1.28
11,884.0,745.0,15553.0,223.0,15000.0,15848.0,12410.0,97.0,208.0,246.0,173.0,316.0,150.0,1.0,9.09
12,282.0,745.0,1960.0,176.0,14590.0,9683.0,9866.0,141.0,132.0,368.0,327.0,215.0,295.0,0.0,2.75
13,473.0,748.0,131.0,108.0,9319.0,6106.0,16565.0,169.0,255.0,211.0,20.0,214.0,287.0,1.0,4.58
14,473.0,747.0,1947.0,287.0,16737.0,9304.0,13953.0,275.0,238.0,148.0,258.0,230.0,213.0,1.0,1.23
15,731.0,746.0,10083.0,66.0,8355.0,8192.0,2578.0,117.0,101.0,311.0,275.0,114.0,360.0,1.0,2.71
16,272.0,744.0,12465.0,121.0,9391.0,10456.0,10976.0,324.0,250.0,112.0,185.0,228.0,136.0,0.0,2.34
17,380.0,749.0,172.0,307.0,5966.0,12887.0,12269.0,243.0,108.0,168.0,29.0,225.0,243.0,0.0,1.75
18,362.0,748.0,486.0,232.0,1517.0,15614.0,15352.0,136.0,186.0,263.0,232.0,242.0,230.0,0.0,1.27
19,1024.0,747.0,1542.0,475.0,11909.0,15078.0,4709.0,161.0,246.0,495.0,230.0,83.0,152.0,1.0,6.86
20,1024.0,744.0,375.0,284.0,6032.0,10315.0,8907.0,133.0,258.0,165.0,304.0,232.0,148.0,1.0,4.51
21,335.0,747.0,5659.0,78.0,3769.0,11821.0,11079.0,52.0,251.0,61.0,128.0,23.0,104.0,0.0,1.08
22,345.0,746.0,5290.0,233.0,8452.0,12220.0,10165.0,281.0,240.0,234.0,202.0,255.0,197.0,0.0,3.06
23,413.0,744.0,9903.0,315.0,1623.0,9503.0,12218.0,123.0,142.0,169.0,100.0,302.0,185.0,0.0,3.51
24,355.0,748.0,1982.0,234.0,13804.0,11634.0,17776.0,64.0,72.0,47.0,106.0,36.0,237.0,0.0,1.67
25,1024.0,737.0,3546.0,327.0,2787.0,1401.0,3028.0,456.0,413.0,99.0,359.0,381.0,149.0,1.0,2.8
26,350.0,744.0,11501.0,83.0,16534.0,9338.0,3944.0,211.0,163.0,193.0,55.0,139.0,289.0,0.0,3.1
27,1025.0,749.0,119.0,245.0,1978.0,4218.0,4276.0,425.0,369.0,464.0,276.0,292.0,166.0,1.0,8.5
28,485.0,744.0,15287.0,286.0,9563.0,8134.0,8314.0,180.0,155.0,48.0,121.0,83.0,285.0,0.0,4.41
29,856.0,749.0,189.0,404.0,12439.0,9326.0,16873.0,189.0,229.0,172.0,86.0,413.0,294.0,0.0,5.03
30,1024.0,748.0,963.0,294.0,12170.0,9604.0,6035.0,80.0,487.0,331.0,338.0,435.0,247.0,1.0,2.89
31,320.0,750.0,247.0,172.0,2925.0,13584.0,7986.0,258.0,278.0,160.0,79.0,230.0,57.0,0.0,2.16
32,492.0,744.0,5728.0,161.0,6702.0,9633.0,3215.0,101.0,243.0,181.0,104.0,165.0,165.0,1.0,1.28
33,329.0,746.0,7405.0,345.0,7893.0,9656.0,11653.0,245.0,48.0,115.0,139.0,299.0,126.0,0.0,1.49
34,323.0,747.0,4021.0,216.0,17202.0,11989.0,8185.0,242.0,222.0,46.0,121.0,226.0,65.0,0.0,1.64
35,402.0,745.0,7995.0,417.0,17000.0,17203.0,12167.0,313.0,248.0,217.0,159.0,271.0,99.0,0.0,4.7
36,339.0,745.0,8172.0,343.0,16569.0,7634.0,5469.0,234.0,118.0,73.0,201.0,96.0,267.0,0.0,2.91
37,1024.0,747.0,2032.0,342.0,608.0,1301.0,3838.0,321.0,261.0,299.0,533.0,482.0,246.0,1.0,3.96
38,526.0,747.0,1171.0,126.0,16663.0,6056.0,3703.0,278.0,494.0,468.0,148.0,246.0,189.0,0.0,6.35
39,513.0,748.0,241.0,309.0,19842.0,10565.0,16235.0,213.0,251.0,268.0,172.0,159.0,253.0,0.0,2.63
40,660.0,744.0,18059.0,237.0,5689.0,8798.0,2989.0,191.0,201.0,256.0,270.0,300.0,164.0,0.0,4.44
41,748.0,744.0,15093.0,1757.0,7343.0,11102.0,7953.0,692.0,291.0,527.0,575.0,87.0,705.0,1.0,2.06
42,1024.0,741.0,12584.0,560.0,1463.0,4234.0,7169.0,501.0,505.0,265.0,421.0,329.0,323.0,1.0,5.25
