,CIR805,FP_AMP2,CIR769,CIR783,CIR802,MAX_NOISE,CIR772,CIR821,CIR818,CIR814,CIR816,CIR817,CIR804,FP_IDX,CIR785,CIR806,CIR811,CIR815,CIR770,CIR809,CIR784,FP_AMP1,CIR822,FP_AMP3,CIR768,CIR798,CIR787,CIR796,CIR771,CIR786,CIR767,CIR801,CIR819,CIR782,CIR_PWR,CIR820,CIR808,CIR766,RANGE,NLOS
0,233.0,10250.0,2288.0,531.0,274.0,967.0,461.0,77.0,402.0,232.0,166.0,448.0,111.0,745.0,480.0,229.0,240.0,108.0,1830.0,74.0,528.0,18712.0,421.0,11576.0,1364.0,263.0,268.0,563.0,1307.0,644.0,3388.0,217.0,191.0,495.0,11855.0,133.0,76.0,1763.0,3.9,0.0
1,416.0,6313.0,4080.0,1916.0,495.0,1133.0,1262.0,226.0,478.0,300.0,501.0,366.0,975.0,749.0,1195.0,264.0,339.0,666.0,910.0,477.0,2752.0,11239.0,515.0,4712.0,7353.0,702.0,385.0,618.0,997.0,1051.0,4099.0,1001.0,332.0,962.0,18968.0,251.0,1003.0,3473.0,0.66,0.0
2,1478.0,5240.0,3850.0,2614.0,815.0,894.0,6272.0,1385.0,578.0,660.0,677.0,506.0,985.0,746.0,1822.0,1232.0,3201.0,400.0,3219.0,55.0,2779.0,4355.0,658.0,3478.0,7848.0,2616.0,5464.0,2413.0,1731.0,5444.0,2948.0,1715.0,633.0,2245.0,14699.0,1218.0,516.0,3174.0,7.86,1.0
3,201.0,8416.0,3901.0,462.0,458.0,1127.0,479.0,320.0,495.0,364.0,218.0,252.0,106.0,750.0,338.0,419.0,363.0,257.0,3798.0,318.0,294.0,8502.0,139.0,5890.0,5424.0,495.0,530.0,225.0,4361.0,71.0,2534.0,494.0,401.0,319.0,8748.0,272.0,303.0,5289.0,3.48,1.0
4,146.0,18095.0,1113.0,532.0,615.0,1744.0,378.0,300.0,473.0,579.0,485.0,573.0,174.0,746.0,563.0,405.0,360.0,127.0,379.0,505.0,661.0,17845.0,735.0,12058.0,1362.0,482.0,636.0,489.0,689.0,835.0,1296.0,853.0,422.0,962.0,11380.0,145.0,337.0,1104.0,1.19,0.0
5,498.0,13680.0,1364.0,350.0,406.0,1397.0,406.0,440.0,538.0,703.0,529.0,261.0,164.0,746.0,867.0,548.0,623.0,688.0,1142.0,414.0,167.0,3446.0,678.0,11955.0,714.0,806.0,243.0,647.0,153.0,1006.0,970.0,392.0,275.0,628.0,10256.0,167.0,576.0,1886.0,1.27,1.0
6,504.0,19444.0,377.0,709.0,952.0,3904.0,1217.0,344.0,926.0,158.0,744.0,891.0,902.0,748.0,795.0,146.0,1413.0,736.0,1663.0,641.0,998.0,18991.0,227.0,18370.0,230.0,190.0,1127.0,912.0,2409.0,1069.0,1041.0,952.0,976.0,385.0,13006.0,1037.0,795.0,984.0,0.28,0.0
7,194.0,10399.0,1796.0,614.0,437.0,1035.0,1722.0,147.0,156.0,264.0,276.0,123.0,177.0,744.0,92.0,258.0,147.0,229.0,830.0,281.0,387.0,14781.0,199.0,10136.0,1035.0,41.0,847.0,415.0,950.0,438.0,830.0,373.0,166.0,505.0,8025.0,134.0,218.0,822.0,1.23,0.0
8,2194.0,8174.0,3632.0,759.0,1533.0,1485.0,4143.0,696.0,988.0,2673.0,1985.0,875.0,2819.0,745.0,1112.0,812.0,492.0,2581.0,8314.0,1779.0,1583.0,4053.0,1238.0,5404.0,4056.0,457.0,2724.0,1706.0,4547.0,1851.0,2027.0,1497.0,1245.0,1054.0,9956.0,1032.0,1153.0,6162.0,4.99,1.0
9,734.0,7675.0,2519.0,2120.0,2206.0,2487.0,3315.0,503.0,359.0,1096.0,218.0,1087.0,2313.0,749.0,844.0,2041.0,1379.0,1238.0,3023.0,332.0,1334.0,10153.0,155.0,6064.0,2732.0,1147.0,1266.0,1175.0,1714.0,1065.0,3282.0,2616.0,222.0,1412.0,11466.0,441.0,785.0,4815.0,1.17,0.0
